,Theme,Company
116,소매유통,"['신세계', '다나와', 'BGF리테일', '롯데쇼핑', 'CJ']"
117,소셜네트워크서비스,"['젬백스링크', '가비아', '이루온', 'NHN벅스', '갤럭시아컴즈']"
118,손소독제,"['MH에탄올', '국제약품', '진원생명과학', '창해에탄올', '유안타증권', '씨젠', '파루', '한국알콜', '깨끗한나라', '랩지노믹스', '백광산업', '수젠텍']"
119,손해보험,"['흥국화재', 'DB손해보험', '메리츠화재', '코리안리', '현대해상']"
120,수산,"['한성기업', 'CJ씨푸드', '사조씨푸드', '동원산업', '신라에스지', '사조산업', '동원수산', '사조오양', '사조대림', '신라교역']"
121,수산물,"['CJ씨푸드', '사조대림', '신라에스지', '사조오양', '한성기업', '동원수산']"
122,수소차,"['성창오토텍', '모토닉', '효성중공업', '우리산업', '동양피스톤', '대우부품', '코오롱머티리얼', '평화산업', '한온시스템', '지엠비코리아', '두산퓨얼셀', '세종공업', '영화테크', '에코바이오', '뉴로스', '평화홀딩스', '일진다이아', '제이엔케이히터', '에스퓨얼셀', '우수AMS', '삼보모터스', '풍국주정', '디케이락', '동아화성', '유라테크', '삼성SDI', '인지컨트롤스', '미코', '이엠코리아', '효성첨단소재', '글로벌에스엠', '유니크']"
123,슈퍼박테리아,"['레고켐바이오', '파루', '씨젠', '큐로컴', '인트론바이오', '크리스탈']"
124,스마트공장,"['맥스로텍', '비엠티', '삼익THK', '스맥', '코윈테크', '링크제니시스']"
125,스마트그리드,"['누리텔레콤', '코콤', '비츠로셀']"
126,스마트스터디,['삼성출판사']
127,스마트워크,['더존비즈온']
128,스마트카,"['이에스브이', '만도', '유비벨록스', '엠씨넥스']"
129,스마트팩토리,"['카페24', 'KG모빌리언스', '라온시큐어', '소프트센', '시스웍', '이엑스티', '메가엠디', '레이언스', 'LG전자']"
130,시멘트,"['고려시멘트', '삼표시멘트']"
131,시스템반도체,"['엘비세미콘', '하나마이크론', '에이디칩스', '어보브반도체', '지니틱스', '에스앤에스텍', '피에스케이', '에이디테크놀로지', 'DB하이텍', '디아이', '라닉스', '네패스', '다믈멀티미디어', '테크윙', 'SFA반도체', '테스', '테스나', '아이에이']"
132,신공항,"['경방', '한진', '동방선기', '영화금속', '한국선재']"
133,신재생에너지,['신성이엔지']
134,신풍제약,"['파미셀', '일성신약', '신풍제약', '화일약품', '비씨월드제약']"
135,아기상어,"['토박스코리아', '삼성출판사']"
136,아이폰,"['프로텍', '덕우전자', '에스맥', '덕산네오룩스', '넥스턴', '와이엠티', '실리콘웍스', '이녹스첨단소재']"
137,아지트로마이신,['국제약품']
138,알콜,"['MH에탄올', '풍국주정', '한국알콜', '창해에탄올']"
139,애경산업,"['애경산업', 'HDC현대산업개발', '아시아나항공']"
140,애플,"['센트랄모텍', '아모그린텍', 'LG이노텍', '이녹스첨단소재', '삼성전기', '세경하이테크', 'KH바텍', '삼성증권']"
141,액화석유가스,"['SK이노베이션', '흥구석유', '극동유화', '중앙에너비스', 'S-Oil']"
142,액화천연가스,"['엔케이', '이더블유케이', 'HSD엔진', '팬오션', '대창솔루션', '한진중공업', '대한해운', '삼강엠앤티', '비에이치아이']"
143,양돈,"['이지홀딩스', '팜스토리', '이지바이오', '우리손에프앤지', '선진']"
144,양자,['우리넷']
145,언택트,"['비트컴퓨터', 'KG모빌리언스', '카카오', '코리아센터', '지어소프트', '카페24', '한진중공업', '인프라웨어', '라온시큐어', '유비케어', '아시아나항공', '인성정보']"
146,언팩,"['비에이치', 'OCI', '한샘']"
147,엔젤산업,"['제로투세븐', '모나미', '메디앙스', '웅진씽크빅', '캐리소프트']"
148,엔터테인먼트,"['이에스에이', '바른손', '에스엠', 'CJ', '와이지엔터테인먼트', '큐로홀딩스', '아리온', '소리바다', 'SBS콘텐츠허브', '지니뮤직', '키이스트', '팬엔터테인먼트', '초록뱀', '큐브엔터', '제이콘텐트리', '에프엔씨엔터', 'NHN벅스']"
149,여행,"['노랑풍선', '하나투어', '롯데관광개발', '참좋은여행', '인터파크', '세중']"
150,영상콘텐츠,"['바른손', '쇼박스', '바른손이앤에이', 'SBS', '이에스에이', '큐로홀딩스', '키이스트']"
151,영화,"['바른손', '쎄니트', '바른손이앤에이', '쇼박스', '세기상사', '덱스터']"
152,온라인광고,"['퓨쳐스트림네트웍스', '지어소프트', '우리손에프앤지', '마이크로디지탈', '랩지노믹스']"
153,온라인교육,"['SK증권', '비상교육', '아이스크림에듀', '메가스터디', '메가엠디', 'NE능률', 'YBM넷']"
154,온실가스,['에코프로']
155,완구,"['손오공', '오로라']"
156,우주선,['켄코아에어로스페이스']
157,우주항공산업,"['한화', '대한항공', '한화에어로스페이스', '퍼스텍', '한양디지텍']"
158,원격의료,"['삼성전자', '인피니트헬스케어', '솔본', '인성정보', '비트컴퓨터', '나노엔텍', '유비케어', '소프트센', '아이센스', '뷰웍스']"
159,원격진료,"[‘인성정보’, ’유비케어’, '비트컴퓨터', 'JW중외제약', '테라젠이텍스', 'SK케미칼', '나노엔텍', '인피니트헬스케어', '소프트센', '녹십자홀딩스', '파마리서치프로덕트', '케어랩스', '유비쿼스']"
160,원자력,['보성파워텍']
161,월드컵,"['팜스토리', '이지홀딩스', '이지바이오']"
162,위생용품,['모나리자']
163,유비케어,"['유비케어', '인성정보', '아이센스']"
164,육계,"['이지홀딩스', '마니커에프앤지', '이지바이오', '푸드나무', '하림', '체리부로', '동우팜투테이블', '팜스토리', '마니커']"
165,음성인식,"['코콤', '코아시아', '블루콤', '코맥스', '파인디지털']"
166,음식료업종,"['네이처셀', '마니커에프앤지', '신송홀딩스', '미래생명자원']"
167,음식료품,['크라운제과']
168,음압병실,"['우정바이오', 'GH신소재']"
169,의료기기,"['멕아이씨에스', '바디텍메드', '수젠텍', '한국비엔씨', '에이치엘비파워', '인트로메딕', '아이쓰리시스템', '코디엠', '인터로조', '바텍', '모나리자', '씨젠', '고려제약', '웰크론', '서린바이오', '깨끗한나라', '조아제약', 'SKC', '한송네오텍', '쌍방울', '파루', '케이엠제약', '한국알콜', '진원생명과학', '수젠텍', '휴비스', 'MH에탄올', '나노캠텍', '국제약품', '에스디생명공학', '락앤락', '케이피엠테크', '레몬', '고려아연', '케이엠', '한글과컴퓨터', '우정바이오', '오공', '바디텍메드', '메디앙스', '남성', '위닉스', '톱텍', '제일바이오']"
170,의약품,"['제일바이오', '알리코제약']"
171,이동통신,"['전파기지국', '유비쿼스', '피피아이', '에이스테크', '쏠리드', '서진시스템', '이수페타시스', '이노와이어리스', '웨이브일렉트로']"
172,이뮨메드,"['우노앤컴퍼니', 'SV인베스트먼트', '마크로젠']"
173,이버멕틴,"['제일바이오', '신풍제약', '이글벳', '우성사료']"
174,이어폰,['아이티엠반도체']
175,인공지능,"['SK하이닉스', '옵티팜', '서진시스템', '로보스타', '에이프로젠제약', '에이디칩스', '고영', '가온미디어', 'TPC', '백광산업', '오픈베이스', '라온피플', '네패스', '에스티큐브', '케이엠더블유', '셀바스AI', '싸이맥스', '일양약품', 'LG이노텍', '로보로보', '큐렉소', '이오테크닉스', '대한뉴팜', '큐브앤컴퍼니', '디지탈옵틱', 'LG', '모비스', '줌인터넷', '휴림로봇', '엠씨넥스', '삼성SDI', '오이솔루션', '제일바이오']"
